booth,party,votes
Gungahlin West (Early voting),The ACT Greens,7395
Gungahlin West (Early voting),The Community Action Party (ACT),0
Gungahlin West (Early voting),Ungrouped,1150
Hall,ACT Labor,240
Hall,Animal Justice Party,10
Hall,Australian Climate Change Justice Party,0
Hall,Australian Federation Party Australian Capital Territory,0
Hall,Belco Party,25
Hall,Canberra Liberals,420
Hall,Canberra Progressives,40
Hall,David Pollard Independent,65
Hall,Labour DLP,30
Hall,Liberal Democrats,5
Hall,"Shooters, Fishers and Farmers Party (ACT)",5
Hall,Sustainable Australia - Stop overdevelopment. Stop corruption.,10
Hall,The ACT Greens,100
Hall,The Community Action Party (ACT),0
Hall,Ungrouped,0
Harrison,ACT Labor,1825
Harrison,Animal Justice Party,90
Harrison,Australian Climate Change Justice Party,10
Harrison,Australian Federation Party Australian Capital Territory,30
Harrison,Belco Party,15
Harrison,Canberra Liberals,1995
Harrison,Canberra Progressives,140
Harrison,David Pollard Independent,95
Harrison,Labour DLP,335
Harrison,Liberal Democrats,0
Harrison,"Shooters, Fishers and Farmers Party (ACT)",15
Harrison,Sustainable Australia - Stop overdevelopment. Stop corruption.,55
Harrison,The ACT Greens,640
Harrison,The Community Action Party (ACT),0
Harrison,Ungrouped,105
Harrison (Early voting),ACT Labor,11090
Harrison (Early voting),Animal Justice Party,410
Harrison (Early voting),Australian Climate Change Justice Party,15
Harrison (Early voting),Australian Federation Party Australian Capital Territory,55
Harrison (Early voting),Belco Party,55
Harrison (Early voting),Canberra Liberals,11550
Harrison (Early voting),Canberra Progressives,760
Harrison (Early voting),David Pollard Independent,785
Harrison (Early voting),Labour DLP,1570
Harrison (Early voting),Liberal Democrats,20
Harrison (Early voting),"Shooters, Fishers and Farmers Party (ACT)",35
Harrison (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,300
Harrison (Early voting),The ACT Greens,3710
Harrison (Early voting),The Community Action Party (ACT),10
Harrison (Early voting),Ungrouped,750
Holder,ACT Labor,665
Holder,Animal Justice Party,55
Holder,Australian Climate Change Justice Party,30
Holder,Australian Federation Party Australian Capital Territory,0
Holder,Belco Party,0
Holder,Canberra Liberals,735
Holder,Canberra Progressives,50
Holder,David Pollard Independent,0
Holder,Labour DLP,0
Holder,Liberal Democrats,0
Holder,"Shooters, Fishers and Farmers Party (ACT)",30
Holder,Sustainable Australia - Stop overdevelopment. Stop corruption.,50
Holder,The ACT Greens,280
Holder,The Community Action Party (ACT),0
Holder,Ungrouped,150
Holt,ACT Labor,1230
Holt,Animal Justice Party,60
Holt,Australian Climate Change Justice Party,40
Holt,Australian Federation Party Australian Capital Territory,0
Holt,Belco Party,415
Holt,Canberra Liberals,835
Holt,Canberra Progressives,0
Holt,David Pollard Independent,5
Holt,Labour DLP,70
Holt,Liberal Democrats,10
Holt,"Shooters, Fishers and Farmers Party (ACT)",115
Holt,Sustainable Australia - Stop overdevelopment. Stop corruption.,50
Holt,The ACT Greens,335
Holt,The Community Action Party (ACT),0
Holt,Ungrouped,40
Hughes,ACT Labor,1000
Hughes,Animal Justice Party,85
Hughes,Australian Climate Change Justice Party,20
Hughes,Australian Federation Party Australian Capital Territory,0
Hughes,Belco Party,0
Hughes,Canberra Liberals,1035
Hughes,Canberra Progressives,130
Hughes,David Pollard Independent,0
Hughes,Labour DLP,0
Hughes,Liberal Democrats,0
Hughes,"Shooters, Fishers and Farmers Party (ACT)",25
Hughes,Sustainable Australia - Stop overdevelopment. Stop corruption.,30
Hughes,The ACT Greens,560
Hughes,The Community Action Party (ACT),5
Hughes,Ungrouped,325
Interstate,ACT Labor,145
Interstate,Animal Justice Party,0
Interstate,Australian Climate Change Justice Party,0
Interstate,Australian Federation Party Australian Capital Territory,0
Interstate,Belco Party,5
Interstate,Canberra Liberals,85
Interstate,Canberra Progressives,5
Interstate,David Pollard Independent,0
Interstate,Labour DLP,0
Interstate,Liberal Democrats,0
Interstate,"Shooters, Fishers and Farmers Party (ACT)",5
Interstate,Sustainable Australia - Stop overdevelopment. Stop corruption.,5
Interstate,The ACT Greens,90
Interstate,The Community Action Party (ACT),0
Interstate,Ungrouped,15
Isabella Plains,ACT Labor,1225
Isabella Plains,Animal Justice Party,60
Isabella Plains,Australian Climate Change Justice Party,0
Isabella Plains,Australian Federation Party Australian Capital Territory,60
Isabella Plains,Belco Party,0
Isabella Plains,Canberra Liberals,995
Isabella Plains,Canberra Progressives,0
Isabella Plains,David Pollard Independent,0
Isabella Plains,Labour DLP,0
Isabella Plains,Liberal Democrats,60
Isabella Plains,"Shooters, Fishers and Farmers Party (ACT)",145
Isabella Plains,Sustainable Australia - Stop overdevelopment. Stop corruption.,85
Isabella Plains,The ACT Greens,320
Isabella Plains,The Community Action Party (ACT),0
Isabella Plains,Ungrouped,0
Kaleen,ACT Labor,1695
Kaleen,Animal Justice Party,60
Kaleen,Australian Climate Change Justice Party,0
Kaleen,Australian Federation Party Australian Capital Territory,10
Kaleen,Belco Party,15
Kaleen,Canberra Liberals,1915
Kaleen,Canberra Progressives,140
Kaleen,David Pollard Independent,175
Kaleen,Labour DLP,170
Kaleen,Liberal Democrats,0
Kaleen,"Shooters, Fishers and Farmers Party (ACT)",5
Kaleen,Sustainable Australia - Stop overdevelopment. Stop corruption.,155
Kaleen,The ACT Greens,640
Kaleen,The Community Action Party (ACT),5
Kaleen,Ungrouped,80
Kaleen South,ACT Labor,1370
Kaleen South,Animal Justice Party,45
Kaleen South,Australian Climate Change Justice Party,40
Kaleen South,Australian Federation Party Australian Capital Territory,10
Kaleen South,Belco Party,30
Kaleen South,Canberra Liberals,1140
Kaleen South,Canberra Progressives,105
Kaleen South,David Pollard Independent,100
Kaleen South,Labour DLP,140
Kaleen South,Liberal Democrats,20
Kaleen South,"Shooters, Fishers and Farmers Party (ACT)",15
Kaleen South,Sustainable Australia - Stop overdevelopment. Stop corruption.,60
Kaleen South,The ACT Greens,680
Kaleen South,The Community Action Party (ACT),0
Kaleen South,Ungrouped,105
Kambah North,ACT Labor,1265
Kambah North,Animal Justice Party,65
Kambah North,Australian Climate Change Justice Party,25
Kambah North,Australian Federation Party Australian Capital Territory,5
Kambah North,Belco Party,0
Kambah North,Canberra Liberals,1200
Kambah North,Canberra Progressives,35
Kambah North,David Pollard Independent,0
Kambah North,Labour DLP,0
Kambah North,Liberal Democrats,0
Kambah North,"Shooters, Fishers and Farmers Party (ACT)",155
Kambah North,Sustainable Australia - Stop overdevelopment. Stop corruption.,65
Kambah North,The ACT Greens,390
Kambah North,The Community Action Party (ACT),0
Kambah North,Ungrouped,140
Kambah South,ACT Labor,1750
Kambah South,Animal Justice Party,145
Kambah South,Australian Climate Change Justice Party,5
Kambah South,Australian Federation Party Australian Capital Territory,25
Kambah South,Belco Party,0
Kambah South,Canberra Liberals,1055
Kambah South,Canberra Progressives,15
Kambah South,David Pollard Independent,0
Kambah South,Labour DLP,0
Kambah South,Liberal Democrats,20
Kambah South,"Shooters, Fishers and Farmers Party (ACT)",175
Kambah South,Sustainable Australia - Stop overdevelopment. Stop corruption.,110
Kambah South,The ACT Greens,520
Kambah South,The Community Action Party (ACT),0
Kambah South,Ungrouped,30
Kambah West,ACT Labor,1915
Kambah West,Animal Justice Party,110
Kambah West,Australian Climate Change Justice Party,0
Kambah West,Australian Federation Party Australian Capital Territory,70
Kambah West,Belco Party,0
Kambah West,Canberra Liberals,1525
Kambah West,Canberra Progressives,5
Kambah West,David Pollard Independent,0
Kambah West,Labour DLP,0
Kambah West,Liberal Democrats,80
Kambah West,"Shooters, Fishers and Farmers Party (ACT)",105
Kambah West,Sustainable Australia - Stop overdevelopment. Stop corruption.,205
Kambah West,The ACT Greens,745
Kambah West,The Community Action Party (ACT),0
Kambah West,Ungrouped,20
Kippax,ACT Labor,730
Kippax,Animal Justice Party,55
Kippax,Australian Climate Change Justice Party,40
Kippax,Australian Federation Party Australian Capital Territory,0
Kippax,Belco Party,280
Kippax,Canberra Liberals,560
Kippax,Canberra Progressives,0
Kippax,David Pollard Independent,0
Kippax,Labour DLP,50
Kippax,Liberal Democrats,30
Kippax,"Shooters, Fishers and Farmers Party (ACT)",120
Kippax,Sustainable Australia - Stop overdevelopment. Stop corruption.,20
Kippax,The ACT Greens,300
Kippax,The Community Action Party (ACT),0
Kippax,Ungrouped,15
Kippax (Early voting),ACT Labor,22555
Kippax (Early voting),Animal Justice Party,910
Kippax (Early voting),Australian Climate Change Justice Party,470
Kippax (Early voting),Australian Federation Party Australian Capital Territory,20
Kippax (Early voting),Belco Party,5610
Kippax (Early voting),Canberra Liberals,16040
Kippax (Early voting),Canberra Progressives,45
Kippax (Early voting),David Pollard Independent,20
Kippax (Early voting),Labour DLP,1135
Kippax (Early voting),Liberal Democrats,385
Kippax (Early voting),"Shooters, Fishers and Farmers Party (ACT)",1385
Kippax (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,800
Kippax (Early voting),The ACT Greens,5785
Kippax (Early voting),The Community Action Party (ACT),5
Kippax (Early voting),Ungrouped,525
Lanyon,ACT Labor,1905
Lanyon,Animal Justice Party,100
Lanyon,Australian Climate Change Justice Party,10
Lanyon,Australian Federation Party Australian Capital Territory,55
Lanyon,Belco Party,0
Lanyon,Canberra Liberals,1655
Lanyon,Canberra Progressives,5
Lanyon,David Pollard Independent,0
Lanyon,Labour DLP,0
Lanyon,Liberal Democrats,85
Lanyon,"Shooters, Fishers and Farmers Party (ACT)",340
Lanyon,Sustainable Australia - Stop overdevelopment. Stop corruption.,90
Lanyon,The ACT Greens,440
Lanyon,The Community Action Party (ACT),0
Lanyon,Ungrouped,0
Lanyon (Early voting),ACT Labor,20350
Lanyon (Early voting),Animal Justice Party,970
Lanyon (Early voting),Australian Climate Change Justice Party,15
Lanyon (Early voting),Australian Federation Party Australian Capital Territory,545
Lanyon (Early voting),Belco Party,15
Lanyon (Early voting),Canberra Liberals,19525
Lanyon (Early voting),Canberra Progressives,35
Lanyon (Early voting),David Pollard Independent,0
Lanyon (Early voting),Labour DLP,45
Lanyon (Early voting),Liberal Democrats,590
Lanyon (Early voting),"Shooters, Fishers and Farmers Party (ACT)",1760
Lanyon (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,875
Lanyon (Early voting),The ACT Greens,4530
Lanyon (Early voting),The Community Action Party (ACT),5
Lanyon (Early voting),Ungrouped,35
Latham,ACT Labor,1305
Latham,Animal Justice Party,45
Latham,Australian Climate Change Justice Party,20
Latham,Australian Federation Party Australian Capital Territory,0
Latham,Belco Party,330
Latham,Canberra Liberals,575
Latham,Canberra Progressives,10
Latham,David Pollard Independent,5
Latham,Labour DLP,75
Latham,Liberal Democrats,20
Latham,"Shooters, Fishers and Farmers Party (ACT)",105
Latham,Sustainable Australia - Stop overdevelopment. Stop corruption.,70
Latham,The ACT Greens,340
Latham,The Community Action Party (ACT),0
Latham,Ungrouped,20
Lyneham,ACT Labor,2645
Lyneham,Animal Justice Party,175
Lyneham,Australian Climate Change Justice Party,60
Lyneham,Australian Federation Party Australian Capital Territory,0
Lyneham,Belco Party,5
Lyneham,Canberra Liberals,1070
Lyneham,Canberra Progressives,370
Lyneham,David Pollard Independent,5
Lyneham,Labour DLP,0
Lyneham,Liberal Democrats,5
Lyneham,"Shooters, Fishers and Farmers Party (ACT)",15
Lyneham,Sustainable Australia - Stop overdevelopment. Stop corruption.,90
Lyneham,The ACT Greens,2105
Lyneham,The Community Action Party (ACT),15
Lyneham,Ungrouped,105
Lyons,ACT Labor,780
Lyons,Animal Justice Party,25
Lyons,Australian Climate Change Justice Party,45
Lyons,Australian Federation Party Australian Capital Territory,5
Lyons,Belco Party,0
Lyons,Canberra Liberals,665
Lyons,Canberra Progressives,55
Lyons,David Pollard Independent,0
Lyons,Labour DLP,0
Lyons,Liberal Democrats,0
Lyons,"Shooters, Fishers and Farmers Party (ACT)",25
Lyons,Sustainable Australia - Stop overdevelopment. Stop corruption.,15
Lyons,The ACT Greens,305
Lyons,The Community Action Party (ACT),0
Lyons,Ungrouped,270
Macgregor,ACT Labor,1095
Macgregor,Animal Justice Party,90
Macgregor,Australian Climate Change Justice Party,30
Macgregor,Australian Federation Party Australian Capital Territory,0
Macgregor,Belco Party,225
Macgregor,Canberra Liberals,690
Macgregor,Canberra Progressives,0
Macgregor,David Pollard Independent,0
Macgregor,Labour DLP,55
Macgregor,Liberal Democrats,15
Macgregor,"Shooters, Fishers and Farmers Party (ACT)",110
Macgregor,Sustainable Australia - Stop overdevelopment. Stop corruption.,20
Macgregor,The ACT Greens,240
Macgregor,The Community Action Party (ACT),0
Macgregor,Ungrouped,25
Macquarie,ACT Labor,1220
Macquarie,Animal Justice Party,35
Macquarie,Australian Climate Change Justice Party,25
Macquarie,Australian Federation Party Australian Capital Territory,0
Macquarie,Belco Party,175
Macquarie,Canberra Liberals,645
Macquarie,Canberra Progressives,5
Macquarie,David Pollard Independent,0
Macquarie,Labour DLP,35
Macquarie,Liberal Democrats,20
Macquarie,"Shooters, Fishers and Farmers Party (ACT)",15
Macquarie,Sustainable Australia - Stop overdevelopment. Stop corruption.,55
Macquarie,The ACT Greens,590
Macquarie,The Community Action Party (ACT),0
Macquarie,Ungrouped,50
Manuka,ACT Labor,2315
Manuka,Animal Justice Party,115
Manuka,Australian Climate Change Justice Party,115
Manuka,Australian Federation Party Australian Capital Territory,0
Manuka,Belco Party,5
Manuka,Canberra Liberals,2025
Manuka,Canberra Progressives,220
Manuka,David Pollard Independent,5
Manuka,Labour DLP,15
Manuka,Liberal Democrats,5
Manuka,"Shooters, Fishers and Farmers Party (ACT)",30
Manuka,Sustainable Australia - Stop overdevelopment. Stop corruption.,100
Manuka,The ACT Greens,1170
Manuka,The Community Action Party (ACT),15
Manuka,Ungrouped,160
Manuka (Early voting),ACT Labor,22415
Manuka (Early voting),Animal Justice Party,690
Manuka (Early voting),Australian Climate Change Justice Party,470
Manuka (Early voting),Australian Federation Party Australian Capital Territory,15
Manuka (Early voting),Belco Party,150
Manuka (Early voting),Canberra Liberals,26565
Manuka (Early voting),Canberra Progressives,2265
Manuka (Early voting),David Pollard Independent,75
Manuka (Early voting),Labour DLP,145
Manuka (Early voting),Liberal Democrats,40
Manuka (Early voting),"Shooters, Fishers and Farmers Party (ACT)",245
Manuka (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,985
Manuka (Early voting),The ACT Greens,9515
Manuka (Early voting),The Community Action Party (ACT),145
Manuka (Early voting),Ungrouped,1675
Mawson,ACT Labor,1160
Mawson,Animal Justice Party,85
Mawson,Australian Climate Change Justice Party,85
Mawson,Australian Federation Party Australian Capital Territory,10
Mawson,Belco Party,0
Mawson,Canberra Liberals,985
Mawson,Canberra Progressives,70
Mawson,David Pollard Independent,0
Mawson,Labour DLP,0
Mawson,Liberal Democrats,0
Mawson,"Shooters, Fishers and Farmers Party (ACT)",90
Mawson,Sustainable Australia - Stop overdevelopment. Stop corruption.,40
Mawson,The ACT Greens,390
Mawson,The Community Action Party (ACT),0
Mawson,Ungrouped,235
Melba,ACT Labor,985
Melba,Animal Justice Party,40
Melba,Australian Climate Change Justice Party,40
Melba,Australian Federation Party Australian Capital Territory,0
Melba,Belco Party,230
Melba,Canberra Liberals,790
Melba,Canberra Progressives,0
Melba,David Pollard Independent,0
Melba,Labour DLP,55
Melba,Liberal Democrats,15
Melba,"Shooters, Fishers and Farmers Party (ACT)",100
Melba,Sustainable Australia - Stop overdevelopment. Stop corruption.,80
Melba,The ACT Greens,400
Melba,The Community Action Party (ACT),0
Melba,Ungrouped,70
Monash,ACT Labor,1245
Monash,Animal Justice Party,80
Monash,Australian Climate Change Justice Party,0
Monash,Australian Federation Party Australian Capital Territory,20
Monash,Belco Party,0
Monash,Canberra Liberals,1180
Monash,Canberra Progressives,0
Monash,David Pollard Independent,0
Monash,Labour DLP,0
Monash,Liberal Democrats,55
Monash,"Shooters, Fishers and Farmers Party (ACT)",160
Monash,Sustainable Australia - Stop overdevelopment. Stop corruption.,75
Monash,The ACT Greens,305
Monash,The Community Action Party (ACT),0
Monash,Ungrouped,5
Narrabundah,ACT Labor,1540
Narrabundah,Animal Justice Party,115
Narrabundah,Australian Climate Change Justice Party,60
Narrabundah,Australian Federation Party Australian Capital Territory,0
Narrabundah,Belco Party,0
Narrabundah,Canberra Liberals,1135
Narrabundah,Canberra Progressives,120
Narrabundah,David Pollard Independent,5
Narrabundah,Labour DLP,0
Narrabundah,Liberal Democrats,0
Narrabundah,"Shooters, Fishers and Farmers Party (ACT)",5
Narrabundah,Sustainable Australia - Stop overdevelopment. Stop corruption.,90
Narrabundah,The ACT Greens,580
Narrabundah,The Community Action Party (ACT),30
Narrabundah,Ungrouped,75
Ngunnawal,ACT Labor,1665
Ngunnawal,Animal Justice Party,85
Ngunnawal,Australian Climate Change Justice Party,0
Ngunnawal,Australian Federation Party Australian Capital Territory,20
Ngunnawal,Belco Party,20
Ngunnawal,Canberra Liberals,1690
Ngunnawal,Canberra Progressives,105
Ngunnawal,David Pollard Independent,105
Ngunnawal,Labour DLP,265
Ngunnawal,Liberal Democrats,0
Ngunnawal,"Shooters, Fishers and Farmers Party (ACT)",15
Ngunnawal,Sustainable Australia - Stop overdevelopment. Stop corruption.,70
Ngunnawal,The ACT Greens,675
Ngunnawal,The Community Action Party (ACT),0
Ngunnawal,Ungrouped,65
Nicholls,ACT Labor,1655
Nicholls,Animal Justice Party,50
Nicholls,Australian Climate Change Justice Party,0
Nicholls,Australian Federation Party Australian Capital Territory,10
Nicholls,Belco Party,15
Nicholls,Canberra Liberals,2745
Nicholls,Canberra Progressives,150
Nicholls,David Pollard Independent,245
Nicholls,Labour DLP,250
Nicholls,Liberal Democrats,0
Nicholls,"Shooters, Fishers and Farmers Party (ACT)",5
Nicholls,Sustainable Australia - Stop overdevelopment. Stop corruption.,45
Nicholls,The ACT Greens,395
Nicholls,The Community Action Party (ACT),0
Nicholls,Ungrouped,45
Oaks Estate,ACT Labor,265
Oaks Estate,Animal Justice Party,20
Oaks Estate,Australian Climate Change Justice Party,15
Oaks Estate,Australian Federation Party Australian Capital Territory,5
Oaks Estate,Belco Party,0
Oaks Estate,Canberra Liberals,295
Oaks Estate,Canberra Progressives,50
Oaks Estate,David Pollard Independent,5
Oaks Estate,Labour DLP,15
Oaks Estate,Liberal Democrats,5
Oaks Estate,"Shooters, Fishers and Farmers Party (ACT)",10
Oaks Estate,Sustainable Australia - Stop overdevelopment. Stop corruption.,20
Oaks Estate,The ACT Greens,90
Oaks Estate,The Community Action Party (ACT),15
Oaks Estate,Ungrouped,15
Overseas,ACT Labor,3035
Overseas,Animal Justice Party,105
Overseas,Australian Climate Change Justice Party,75
Overseas,Australian Federation Party Australian Capital Territory,10
Overseas,Belco Party,35
Overseas,Canberra Liberals,1800
Overseas,Canberra Progressives,340
Overseas,David Pollard Independent,25
Overseas,Labour DLP,110
Overseas,Liberal Democrats,15
Overseas,"Shooters, Fishers and Farmers Party (ACT)",55
Overseas,Sustainable Australia - Stop overdevelopment. Stop corruption.,155
Overseas,The ACT Greens,1790
Overseas,The Community Action Party (ACT),20
Overseas,Ungrouped,160
Page,ACT Labor,1010
Page,Animal Justice Party,50
Page,Australian Climate Change Justice Party,30
Page,Australian Federation Party Australian Capital Territory,0
Page,Belco Party,385
Page,Canberra Liberals,680
Page,Canberra Progressives,0
Page,David Pollard Independent,0
Page,Labour DLP,65
Page,Liberal Democrats,5
Page,"Shooters, Fishers and Farmers Party (ACT)",40
Page,Sustainable Australia - Stop overdevelopment. Stop corruption.,60
Page,The ACT Greens,335
Page,The Community Action Party (ACT),0
Page,Ungrouped,60
Palmerston,ACT Labor,1490
Palmerston,Animal Justice Party,95
Palmerston,Australian Climate Change Justice Party,0
Palmerston,Australian Federation Party Australian Capital Territory,10
Palmerston,Belco Party,0
Palmerston,Canberra Liberals,2100
Palmerston,Canberra Progressives,165
Palmerston,David Pollard Independent,230
Palmerston,Labour DLP,205
Palmerston,Liberal Democrats,0
Palmerston,"Shooters, Fishers and Farmers Party (ACT)",0
Palmerston,Sustainable Australia - Stop overdevelopment. Stop corruption.,60
Palmerston,The ACT Greens,565
Palmerston,The Community Action Party (ACT),0
Palmerston,Ungrouped,95
Pearce,ACT Labor,1490
Pearce,Animal Justice Party,70
Pearce,Australian Climate Change Justice Party,65
Pearce,Australian Federation Party Australian Capital Territory,5
Pearce,Belco Party,0
Pearce,Canberra Liberals,1270
Pearce,Canberra Progressives,60
Pearce,David Pollard Independent,0
Pearce,Labour DLP,0
Pearce,Liberal Democrats,0
Pearce,"Shooters, Fishers and Farmers Party (ACT)",110
Pearce,Sustainable Australia - Stop overdevelopment. Stop corruption.,55
Pearce,The ACT Greens,480
Pearce,The Community Action Party (ACT),0
Pearce,Ungrouped,430
Postal,ACT Labor,29905
Postal,Animal Justice Party,1875
Postal,Australian Climate Change Justice Party,580
Postal,Australian Federation Party Australian Capital Territory,175
Postal,Belco Party,1720
Postal,Canberra Liberals,32685
Postal,Canberra Progressives,1730
Postal,David Pollard Independent,635
Postal,Labour DLP,605
Postal,Liberal Democrats,170
Postal,"Shooters, Fishers and Farmers Party (ACT)",925
Postal,Sustainable Australia - Stop overdevelopment. Stop corruption.,2075
Postal,The ACT Greens,8665
Postal,The Community Action Party (ACT),95
Postal,Ungrouped,2350
Red Hill,ACT Labor,1455
Red Hill,Animal Justice Party,55
Red Hill,Australian Climate Change Justice Party,50
Red Hill,Australian Federation Party Australian Capital Territory,0
Red Hill,Belco Party,0
Red Hill,Canberra Liberals,1585
Red Hill,Canberra Progressives,285
Red Hill,David Pollard Independent,0
Red Hill,Labour DLP,0
Red Hill,Liberal Democrats,0
Red Hill,"Shooters, Fishers and Farmers Party (ACT)",20
Red Hill,Sustainable Australia - Stop overdevelopment. Stop corruption.,90
Red Hill,The ACT Greens,695
Red Hill,The Community Action Party (ACT),5
Red Hill,Ungrouped,95
Richardson,ACT Labor,815
Richardson,Animal Justice Party,15
Richardson,Australian Climate Change Justice Party,0
Richardson,Australian Federation Party Australian Capital Territory,5
Richardson,Belco Party,0
Richardson,Canberra Liberals,590
Richardson,Canberra Progressives,0
Richardson,David Pollard Independent,0
Richardson,Labour DLP,0
Richardson,Liberal Democrats,35
Richardson,"Shooters, Fishers and Farmers Party (ACT)",145
Richardson,Sustainable Australia - Stop overdevelopment. Stop corruption.,55
Richardson,The ACT Greens,155
Richardson,The Community Action Party (ACT),0
Richardson,Ungrouped,0
Scullin,ACT Labor,860
Scullin,Animal Justice Party,30
Scullin,Australian Climate Change Justice Party,40
Scullin,Australian Federation Party Australian Capital Territory,0
Scullin,Belco Party,225
Scullin,Canberra Liberals,360
Scullin,Canberra Progressives,0
Scullin,David Pollard Independent,0
Scullin,Labour DLP,45
Scullin,Liberal Democrats,0
Scullin,"Shooters, Fishers and Farmers Party (ACT)",25
Scullin,Sustainable Australia - Stop overdevelopment. Stop corruption.,65
Scullin,The ACT Greens,275
Scullin,The Community Action Party (ACT),0
Scullin,Ungrouped,45
Taylor,ACT Labor,1065
Taylor,Animal Justice Party,25
Taylor,Australian Climate Change Justice Party,0
Taylor,Australian Federation Party Australian Capital Territory,25
Taylor,Belco Party,0
Taylor,Canberra Liberals,1145
Taylor,Canberra Progressives,65
Taylor,David Pollard Independent,55
Taylor,Labour DLP,155
Taylor,Liberal Democrats,0
Taylor,"Shooters, Fishers and Farmers Party (ACT)",0
Taylor,Sustainable Australia - Stop overdevelopment. Stop corruption.,15
Taylor,The ACT Greens,345
Taylor,The Community Action Party (ACT),0
Taylor,Ungrouped,15
Tharwa,ACT Labor,50
Tharwa,Animal Justice Party,25
Tharwa,Australian Climate Change Justice Party,0
Tharwa,Australian Federation Party Australian Capital Territory,0
Tharwa,Belco Party,0
Tharwa,Canberra Liberals,110
Tharwa,Canberra Progressives,0
Tharwa,David Pollard Independent,0
Tharwa,Labour DLP,0
Tharwa,Liberal Democrats,10
Tharwa,"Shooters, Fishers and Farmers Party (ACT)",0
Tharwa,Sustainable Australia - Stop overdevelopment. Stop corruption.,15
Tharwa,The ACT Greens,10
Tharwa,The Community Action Party (ACT),0
Tharwa,Ungrouped,0
Theodore,ACT Labor,1100
Theodore,Animal Justice Party,55
Theodore,Australian Climate Change Justice Party,0
Theodore,Australian Federation Party Australian Capital Territory,45
Theodore,Belco Party,0
Theodore,Canberra Liberals,1130
Theodore,Canberra Progressives,0
Theodore,David Pollard Independent,0
Theodore,Labour DLP,0
Theodore,Liberal Democrats,25
Theodore,"Shooters, Fishers and Farmers Party (ACT)",140
Theodore,Sustainable Australia - Stop overdevelopment. Stop corruption.,40
Theodore,The ACT Greens,225
Theodore,The Community Action Party (ACT),0
Theodore,Ungrouped,0
Tuggeranong,ACT Labor,1960
Tuggeranong,Animal Justice Party,190
Tuggeranong,Australian Climate Change Justice Party,5
Tuggeranong,Australian Federation Party Australian Capital Territory,35
Tuggeranong,Belco Party,20
Tuggeranong,Canberra Liberals,1505
Tuggeranong,Canberra Progressives,5
Tuggeranong,David Pollard Independent,0
Tuggeranong,Labour DLP,10
Tuggeranong,Liberal Democrats,120
Tuggeranong,"Shooters, Fishers and Farmers Party (ACT)",150
Tuggeranong,Sustainable Australia - Stop overdevelopment. Stop corruption.,120
Tuggeranong,The ACT Greens,560
Tuggeranong,The Community Action Party (ACT),0
Tuggeranong,Ungrouped,20
Tuggeranong (Early voting),ACT Labor,41740
Tuggeranong (Early voting),Animal Justice Party,2210
Tuggeranong (Early voting),Australian Climate Change Justice Party,195
Tuggeranong (Early voting),Australian Federation Party Australian Capital Territory,805
Tuggeranong (Early voting),Belco Party,105
Tuggeranong (Early voting),Canberra Liberals,37705
Tuggeranong (Early voting),Canberra Progressives,330
Tuggeranong (Early voting),David Pollard Independent,60
Tuggeranong (Early voting),Labour DLP,175
Tuggeranong (Early voting),Liberal Democrats,1035
Tuggeranong (Early voting),"Shooters, Fishers and Farmers Party (ACT)",2260
Tuggeranong (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,2095
Tuggeranong (Early voting),The ACT Greens,11500
Tuggeranong (Early voting),The Community Action Party (ACT),0
Tuggeranong (Early voting),Ungrouped,660
Turner,ACT Labor,2070
Turner,Animal Justice Party,150
Turner,Australian Climate Change Justice Party,45
Turner,Australian Federation Party Australian Capital Territory,0
Turner,Belco Party,5
Turner,Canberra Liberals,990
Turner,Canberra Progressives,295
Turner,David Pollard Independent,0
Turner,Labour DLP,0
Turner,Liberal Democrats,0
Turner,"Shooters, Fishers and Farmers Party (ACT)",10
Turner,Sustainable Australia - Stop overdevelopment. Stop corruption.,75
Turner,The ACT Greens,1535
Turner,The Community Action Party (ACT),20
Turner,Ungrouped,60
Wanniassa,ACT Labor,1010
Wanniassa,Animal Justice Party,60
Wanniassa,Australian Climate Change Justice Party,5
Wanniassa,Australian Federation Party Australian Capital Territory,40
Wanniassa,Belco Party,0
Wanniassa,Canberra Liberals,1245
Wanniassa,Canberra Progressives,15
Wanniassa,David Pollard Independent,0
Wanniassa,Labour DLP,0
Wanniassa,Liberal Democrats,50
Wanniassa,"Shooters, Fishers and Farmers Party (ACT)",150
Wanniassa,Sustainable Australia - Stop overdevelopment. Stop corruption.,115
Wanniassa,The ACT Greens,365
Wanniassa,The Community Action Party (ACT),0
Wanniassa,Ungrouped,10
Wanniassa Hills,ACT Labor,1325
Wanniassa Hills,Animal Justice Party,85
Wanniassa Hills,Australian Climate Change Justice Party,0
Wanniassa Hills,Australian Federation Party Australian Capital Territory,55
Wanniassa Hills,Belco Party,0
Wanniassa Hills,Canberra Liberals,995
Wanniassa Hills,Canberra Progressives,0
Wanniassa Hills,David Pollard Independent,0
Wanniassa Hills,Labour DLP,0
Wanniassa Hills,Liberal Democrats,45
Wanniassa Hills,"Shooters, Fishers and Farmers Party (ACT)",85
