booth,party,votes
Harrison,Australian Federation Party Australian Capital Territory,6
Harrison,Belco Party,3
Harrison,Canberra Liberals,399
Harrison,Canberra Progressives,28
Harrison,David Pollard Independent,19
Harrison,Labour DLP,67
Harrison,Liberal Democrats,0
Harrison,"Shooters, Fishers and Farmers Party (ACT)",3
Harrison,Sustainable Australia - Stop overdevelopment. Stop corruption.,11
Harrison,The ACT Greens,128
Harrison,The Community Action Party (ACT),0
Harrison,Ungrouped,21
Harrison (Early voting),ACT Labor,2218
Harrison (Early voting),Animal Justice Party,80
Harrison (Early voting),Australian Climate Change Justice Party,3
Harrison (Early voting),Australian Federation Party Australian Capital Territory,11
Harrison (Early voting),Belco Party,11
Harrison (Early voting),Canberra Liberals,2310
Harrison (Early voting),Canberra Progressives,152
Harrison (Early voting),David Pollard Independent,157
Harrison (Early voting),Labour DLP,314
Harrison (Early voting),Liberal Democrats,4
Harrison (Early voting),"Shooters, Fishers and Farmers Party (ACT)",7
Harrison (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,60
Harrison (Early voting),The ACT Greens,742
Harrison (Early voting),The Community Action Party (ACT),2
Harrison (Early voting),Ungrouped,150
Holder,ACT Labor,133
Holder,Animal Justice Party,11
Holder,Australian Climate Change Justice Party,6
Holder,Australian Federation Party Australian Capital Territory,0
Holder,Belco Party,0
Holder,Canberra Liberals,147
Holder,Canberra Progressives,10
Holder,David Pollard Independent,0
Holder,Labour DLP,0
Holder,Liberal Democrats,0
Holder,"Shooters, Fishers and Farmers Party (ACT)",6
Holder,Sustainable Australia - Stop overdevelopment. Stop corruption.,10
Holder,The ACT Greens,56
Holder,The Community Action Party (ACT),0
Holder,Ungrouped,30
Holt,ACT Labor,246
Holt,Animal Justice Party,12
Holt,Australian Climate Change Justice Party,8
Holt,Australian Federation Party Australian Capital Territory,0
Holt,Belco Party,83
Holt,Canberra Liberals,167
Holt,Canberra Progressives,0
Holt,David Pollard Independent,1
Holt,Labour DLP,14
Holt,Liberal Democrats,2
Holt,"Shooters, Fishers and Farmers Party (ACT)",23
Holt,Sustainable Australia - Stop overdevelopment. Stop corruption.,10
Holt,The ACT Greens,67
Holt,The Community Action Party (ACT),0
Holt,Ungrouped,8
Hughes,ACT Labor,200
Hughes,Animal Justice Party,17
Hughes,Australian Climate Change Justice Party,4
Hughes,Australian Federation Party Australian Capital Territory,0
Hughes,Belco Party,0
Hughes,Canberra Liberals,207
Hughes,Canberra Progressives,26
Hughes,David Pollard Independent,0
Hughes,Labour DLP,0
Hughes,Liberal Democrats,0
Hughes,"Shooters, Fishers and Farmers Party (ACT)",5
Hughes,Sustainable Australia - Stop overdevelopment. Stop corruption.,6
Hughes,The ACT Greens,112
Hughes,The Community Action Party (ACT),1
Hughes,Ungrouped,65
Interstate,ACT Labor,29
Interstate,Animal Justice Party,0
Interstate,Australian Climate Change Justice Party,0
Interstate,Australian Federation Party Australian Capital Territory,0
Interstate,Belco Party,1
Interstate,Canberra Liberals,17
Interstate,Canberra Progressives,1
Interstate,David Pollard Independent,0
Interstate,Labour DLP,0
Interstate,Liberal Democrats,0
Interstate,"Shooters, Fishers and Farmers Party (ACT)",1
Interstate,Sustainable Australia - Stop overdevelopment. Stop corruption.,1
Interstate,The ACT Greens,18
Interstate,The Community Action Party (ACT),0
Interstate,Ungrouped,3
Isabella Plains,ACT Labor,245
Isabella Plains,Animal Justice Party,12
Isabella Plains,Australian Climate Change Justice Party,0
Isabella Plains,Australian Federation Party Australian Capital Territory,12
Isabella Plains,Belco Party,0
Isabella Plains,Canberra Liberals,199
Isabella Plains,Canberra Progressives,0
Isabella Plains,David Pollard Independent,0
Isabella Plains,Labour DLP,0
Isabella Plains,Liberal Democrats,12
Isabella Plains,"Shooters, Fishers and Farmers Party (ACT)",29
Isabella Plains,Sustainable Australia - Stop overdevelopment. Stop corruption.,17
Isabella Plains,The ACT Greens,64
Isabella Plains,The Community Action Party (ACT),0
Isabella Plains,Ungrouped,0
Kaleen,ACT Labor,339
Kaleen,Animal Justice Party,12
Kaleen,Australian Climate Change Justice Party,0
Kaleen,Australian Federation Party Australian Capital Territory,2
Kaleen,Belco Party,3
Kaleen,Canberra Liberals,383
Kaleen,Canberra Progressives,28
Kaleen,David Pollard Independent,35
Kaleen,Labour DLP,34
Kaleen,Liberal Democrats,0
Kaleen,"Shooters, Fishers and Farmers Party (ACT)",1
Kaleen,Sustainable Australia - Stop overdevelopment. Stop corruption.,31
Kaleen,The ACT Greens,128
Kaleen,The Community Action Party (ACT),1
Kaleen,Ungrouped,16
Kaleen South,ACT Labor,274
Kaleen South,Animal Justice Party,9
Kaleen South,Australian Climate Change Justice Party,8
Kaleen South,Australian Federation Party Australian Capital Territory,2
Kaleen South,Belco Party,6
Kaleen South,Canberra Liberals,228
Kaleen South,Canberra Progressives,21
Kaleen South,David Pollard Independent,20
Kaleen South,Labour DLP,28
Kaleen South,Liberal Democrats,4
Kaleen South,"Shooters, Fishers and Farmers Party (ACT)",3
Kaleen South,Sustainable Australia - Stop overdevelopment. Stop corruption.,12
Kaleen South,The ACT Greens,136
Kaleen South,The Community Action Party (ACT),0
Kaleen South,Ungrouped,21
Kambah North,ACT Labor,253
Kambah North,Animal Justice Party,13
Kambah North,Australian Climate Change Justice Party,5
Kambah North,Australian Federation Party Australian Capital Territory,1
Kambah North,Belco Party,0
Kambah North,Canberra Liberals,240
Kambah North,Canberra Progressives,7
Kambah North,David Pollard Independent,0
Kambah North,Labour DLP,0
Kambah North,Liberal Democrats,0
Kambah North,"Shooters, Fishers and Farmers Party (ACT)",31
Kambah North,Sustainable Australia - Stop overdevelopment. Stop corruption.,13
Kambah North,The ACT Greens,78
Kambah North,The Community Action Party (ACT),0
Kambah North,Ungrouped,28
Kambah South,ACT Labor,350
Kambah South,Animal Justice Party,29
Kambah South,Australian Climate Change Justice Party,1
Kambah South,Australian Federation Party Australian Capital Territory,5
Kambah South,Belco Party,0
Kambah South,Canberra Liberals,211
Kambah South,Canberra Progressives,3
Kambah South,David Pollard Independent,0
Kambah South,Labour DLP,0
Kambah South,Liberal Democrats,4
Kambah South,"Shooters, Fishers and Farmers Party (ACT)",35
Kambah South,Sustainable Australia - Stop overdevelopment. Stop corruption.,22
Kambah South,The ACT Greens,104
Kambah South,The Community Action Party (ACT),0
Kambah South,Ungrouped,6
Kambah West,ACT Labor,383
Kambah West,Animal Justice Party,22
Kambah West,Australian Climate Change Justice Party,0
Kambah West,Australian Federation Party Australian Capital Territory,14
Kambah West,Belco Party,0
Kambah West,Canberra Liberals,305
Kambah West,Canberra Progressives,1
Kambah West,David Pollard Independent,0
Kambah West,Labour DLP,0
Kambah West,Liberal Democrats,16
Kambah West,"Shooters, Fishers and Farmers Party (ACT)",21
Kambah West,Sustainable Australia - Stop overdevelopment. Stop corruption.,41
Kambah West,The ACT Greens,149
Kambah West,The Community Action Party (ACT),0
Kambah West,Ungrouped,4
Kippax,ACT Labor,146
Kippax,Animal Justice Party,11
Kippax,Australian Climate Change Justice Party,8
Kippax,Australian Federation Party Australian Capital Territory,0
Kippax,Belco Party,56
Kippax,Canberra Liberals,112
Kippax,Canberra Progressives,0
Kippax,David Pollard Independent,0
Kippax,Labour DLP,10
Kippax,Liberal Democrats,6
Kippax,"Shooters, Fishers and Farmers Party (ACT)",24
Kippax,Sustainable Australia - Stop overdevelopment. Stop corruption.,4
Kippax,The ACT Greens,60
Kippax,The Community Action Party (ACT),0
Kippax,Ungrouped,3
Kippax (Early voting),ACT Labor,4511
Kippax (Early voting),Animal Justice Party,182
Kippax (Early voting),Australian Climate Change Justice Party,94
Kippax (Early voting),Australian Federation Party Australian Capital Territory,4
Kippax (Early voting),Belco Party,1122
Kippax (Early voting),Canberra Liberals,3208
Kippax (Early voting),Canberra Progressives,9
Kippax (Early voting),David Pollard Independent,4
Kippax (Early voting),Labour DLP,227
Kippax (Early voting),Liberal Democrats,77
Kippax (Early voting),"Shooters, Fishers and Farmers Party (ACT)",277
Kippax (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,160
Kippax (Early voting),The ACT Greens,1157
Kippax (Early voting),The Community Action Party (ACT),1
Kippax (Early voting),Ungrouped,105
Lanyon,ACT Labor,381
Lanyon,Animal Justice Party,20
Lanyon,Australian Climate Change Justice Party,2
Lanyon,Australian Federation Party Australian Capital Territory,11
Lanyon,Belco Party,0
Lanyon,Canberra Liberals,331
Lanyon,Canberra Progressives,1
Lanyon,David Pollard Independent,0
Lanyon,Labour DLP,0
Lanyon,Liberal Democrats,17
Lanyon,"Shooters, Fishers and Farmers Party (ACT)",68
Lanyon,Sustainable Australia - Stop overdevelopment. Stop corruption.,18
Lanyon,The ACT Greens,88
Lanyon,The Community Action Party (ACT),0
Lanyon,Ungrouped,0
Lanyon (Early voting),ACT Labor,4070
Lanyon (Early voting),Animal Justice Party,194
Lanyon (Early voting),Australian Climate Change Justice Party,3
Lanyon (Early voting),Australian Federation Party Australian Capital Territory,109
Lanyon (Early voting),Belco Party,3
Lanyon (Early voting),Canberra Liberals,3905
Lanyon (Early voting),Canberra Progressives,7
Lanyon (Early voting),David Pollard Independent,0
Lanyon (Early voting),Labour DLP,9
Lanyon (Early voting),Liberal Democrats,118
Lanyon (Early voting),"Shooters, Fishers and Farmers Party (ACT)",352
Lanyon (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,175
Lanyon (Early voting),The ACT Greens,906
Lanyon (Early voting),The Community Action Party (ACT),1
Lanyon (Early voting),Ungrouped,7
Latham,ACT Labor,261
Latham,Animal Justice Party,9
Latham,Australian Climate Change Justice Party,4
Latham,Australian Federation Party Australian Capital Territory,0
Latham,Belco Party,66
Latham,Canberra Liberals,115
Latham,Canberra Progressives,2
Latham,David Pollard Independent,1
Latham,Labour DLP,15
Latham,Liberal Democrats,4
Latham,"Shooters, Fishers and Farmers Party (ACT)",21
Latham,Sustainable Australia - Stop overdevelopment. Stop corruption.,14
Latham,The ACT Greens,68
Latham,The Community Action Party (ACT),0
Latham,Ungrouped,4
Lyneham,ACT Labor,529
Lyneham,Animal Justice Party,35
Lyneham,Australian Climate Change Justice Party,12
Lyneham,Australian Federation Party Australian Capital Territory,0
Lyneham,Belco Party,1
Lyneham,Canberra Liberals,214
Lyneham,Canberra Progressives,74
Lyneham,David Pollard Independent,1
Lyneham,Labour DLP,0
Lyneham,Liberal Democrats,1
Lyneham,"Shooters, Fishers and Farmers Party (ACT)",3
Lyneham,Sustainable Australia - Stop overdevelopment. Stop corruption.,18
Lyneham,The ACT Greens,421
Lyneham,The Community Action Party (ACT),3
Lyneham,Ungrouped,21
Lyons,ACT Labor,156
Lyons,Animal Justice Party,5
Lyons,Australian Climate Change Justice Party,9
Lyons,Australian Federation Party Australian Capital Territory,1
Lyons,Belco Party,0
Lyons,Canberra Liberals,133
Lyons,Canberra Progressives,11
Lyons,David Pollard Independent,0
Lyons,Labour DLP,0
Lyons,Liberal Democrats,0
Lyons,"Shooters, Fishers and Farmers Party (ACT)",5
Lyons,Sustainable Australia - Stop overdevelopment. Stop corruption.,3
Lyons,The ACT Greens,61
Lyons,The Community Action Party (ACT),0
Lyons,Ungrouped,50
Macgregor,ACT Labor,219
Macgregor,Animal Justice Party,18
Macgregor,Australian Climate Change Justice Party,6
Macgregor,Australian Federation Party Australian Capital Territory,0
Macgregor,Belco Party,45
Macgregor,Canberra Liberals,138
Macgregor,Canberra Progressives,0
Macgregor,David Pollard Independent,0
Macgregor,Labour DLP,11
Macgregor,Liberal Democrats,3
Macgregor,"Shooters, Fishers and Farmers Party (ACT)",22
Macgregor,Sustainable Australia - Stop overdevelopment. Stop corruption.,4
Macgregor,The ACT Greens,48
Macgregor,The Community Action Party (ACT),0
Macgregor,Ungrouped,5
Macquarie,ACT Labor,244
Macquarie,Animal Justice Party,7
Macquarie,Australian Climate Change Justice Party,5
Macquarie,Australian Federation Party Australian Capital Territory,0
Macquarie,Belco Party,35
Macquarie,Canberra Liberals,129
Macquarie,Canberra Progressives,1
Macquarie,David Pollard Independent,0
Macquarie,Labour DLP,7
Macquarie,Liberal Democrats,4
Macquarie,"Shooters, Fishers and Farmers Party (ACT)",3
Macquarie,Sustainable Australia - Stop overdevelopment. Stop corruption.,11
Macquarie,The ACT Greens,118
Macquarie,The Community Action Party (ACT),0
Macquarie,Ungrouped,10
Manuka,ACT Labor,463
Manuka,Animal Justice Party,23
Manuka,Australian Climate Change Justice Party,23
Manuka,Australian Federation Party Australian Capital Territory,0
Manuka,Belco Party,1
Manuka,Canberra Liberals,405
Manuka,Canberra Progressives,44
Manuka,David Pollard Independent,1
Manuka,Labour DLP,3
Manuka,Liberal Democrats,1
Manuka,"Shooters, Fishers and Farmers Party (ACT)",6
Manuka,Sustainable Australia - Stop overdevelopment. Stop corruption.,20
Manuka,The ACT Greens,234
Manuka,The Community Action Party (ACT),3
Manuka,Ungrouped,32
Manuka (Early voting),ACT Labor,4483
Manuka (Early voting),Animal Justice Party,138
Manuka (Early voting),Australian Climate Change Justice Party,94
Manuka (Early voting),Australian Federation Party Australian Capital Territory,3
Manuka (Early voting),Belco Party,30
Manuka (Early voting),Canberra Liberals,5313
Manuka (Early voting),Canberra Progressives,453
Manuka (Early voting),David Pollard Independent,14
Manuka (Early voting),Labour DLP,29
Manuka (Early voting),Liberal Democrats,8
Manuka (Early voting),"Shooters, Fishers and Farmers Party (ACT)",49
Manuka (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,197
Manuka (Early voting),The ACT Greens,1903
Manuka (Early voting),The Community Action Party (ACT),29
Manuka (Early voting),Ungrouped,335
Mawson,ACT Labor,232
Mawson,Animal Justice Party,17
Mawson,Australian Climate Change Justice Party,17
Mawson,Australian Federation Party Australian Capital Territory,2
Mawson,Belco Party,0
Mawson,Canberra Liberals,197
Mawson,Canberra Progressives,14
Mawson,David Pollard Independent,0
Mawson,Labour DLP,0
Mawson,Liberal Democrats,0
Mawson,"Shooters, Fishers and Farmers Party (ACT)",18
Mawson,Sustainable Australia - Stop overdevelopment. Stop corruption.,8
Mawson,The ACT Greens,78
Mawson,The Community Action Party (ACT),0
Mawson,Ungrouped,47
Melba,ACT Labor,197
Melba,Animal Justice Party,8
Melba,Australian Climate Change Justice Party,8
Melba,Australian Federation Party Australian Capital Territory,0
Melba,Belco Party,46
Melba,Canberra Liberals,158
Melba,Canberra Progressives,0
Melba,David Pollard Independent,0
Melba,Labour DLP,11
Melba,Liberal Democrats,3
Melba,"Shooters, Fishers and Farmers Party (ACT)",20
Melba,Sustainable Australia - Stop overdevelopment. Stop corruption.,16
Melba,The ACT Greens,80
Melba,The Community Action Party (ACT),0
Melba,Ungrouped,14
Mobile,ACT Labor,607
Mobile,Animal Justice Party,21
Mobile,Australian Climate Change Justice Party,15
Mobile,Australian Federation Party Australian Capital Territory,2
Mobile,Belco Party,7
Mobile,Canberra Liberals,360
Mobile,Canberra Progressives,68
Mobile,David Pollard Independent,5
Mobile,Labour DLP,22
Mobile,Liberal Democrats,3
Mobile,"Shooters, Fishers and Farmers Party (ACT)",11
Mobile,Sustainable Australia - Stop overdevelopment. Stop corruption.,31
Mobile,The ACT Greens,358
Mobile,The Community Action Party (ACT),4
Mobile,Ungrouped,32
Monash,ACT Labor,249
Monash,Animal Justice Party,16
Monash,Australian Climate Change Justice Party,0
Monash,Australian Federation Party Australian Capital Territory,4
Monash,Belco Party,0
Monash,Canberra Liberals,236
Monash,Canberra Progressives,0
Monash,David Pollard Independent,0
Monash,Labour DLP,0
Monash,Liberal Democrats,11
Monash,"Shooters, Fishers and Farmers Party (ACT)",32
Monash,Sustainable Australia - Stop overdevelopment. Stop corruption.,15
Monash,The ACT Greens,61
Monash,The Community Action Party (ACT),0
Monash,Ungrouped,1
Narrabundah,ACT Labor,308
Narrabundah,Animal Justice Party,23
Narrabundah,Australian Climate Change Justice Party,12
Narrabundah,Australian Federation Party Australian Capital Territory,0
Narrabundah,Belco Party,0
Narrabundah,Canberra Liberals,227
Narrabundah,Canberra Progressives,24
Narrabundah,David Pollard Independent,1
Narrabundah,Labour DLP,0
Narrabundah,Liberal Democrats,0
Narrabundah,"Shooters, Fishers and Farmers Party (ACT)",1
Narrabundah,Sustainable Australia - Stop overdevelopment. Stop corruption.,18
Narrabundah,The ACT Greens,116
Narrabundah,The Community Action Party (ACT),6
Narrabundah,Ungrouped,15
Ngunnawal,ACT Labor,333
Ngunnawal,Animal Justice Party,17
Ngunnawal,Australian Climate Change Justice Party,0
Ngunnawal,Australian Federation Party Australian Capital Territory,4
Ngunnawal,Belco Party,4
Ngunnawal,Canberra Liberals,338
Ngunnawal,Canberra Progressives,21
Ngunnawal,David Pollard Independent,21
Ngunnawal,Labour DLP,53
Ngunnawal,Liberal Democrats,0
Ngunnawal,"Shooters, Fishers and Farmers Party (ACT)",3
Ngunnawal,Sustainable Australia - Stop overdevelopment. Stop corruption.,14
Ngunnawal,The ACT Greens,135
Ngunnawal,The Community Action Party (ACT),0
Ngunnawal,Ungrouped,13
Nicholls,ACT Labor,331
Nicholls,Animal Justice Party,10
Nicholls,Australian Climate Change Justice Party,0
Nicholls,Australian Federation Party Australian Capital Territory,2
Nicholls,Belco Party,3
Nicholls,Canberra Liberals,549
Nicholls,Canberra Progressives,30
Nicholls,David Pollard Independent,49
Nicholls,Labour DLP,50
Nicholls,Liberal Democrats,0
Nicholls,"Shooters, Fishers and Farmers Party (ACT)",1
Nicholls,Sustainable Australia - Stop overdevelopment. Stop corruption.,9
Nicholls,The ACT Greens,79
Nicholls,The Community Action Party (ACT),0
Nicholls,Ungrouped,9
Oaks Estate,ACT Labor,53
Oaks Estate,Animal Justice Party,4
Oaks Estate,Australian Climate Change Justice Party,3
Oaks Estate,Australian Federation Party Australian Capital Territory,1
Oaks Estate,Belco Party,0
Oaks Estate,Canberra Liberals,59
Oaks Estate,Canberra Progressives,10
Oaks Estate,David Pollard Independent,1
Oaks Estate,Labour DLP,3
Oaks Estate,Liberal Democrats,1
Oaks Estate,"Shooters, Fishers and Farmers Party (ACT)",2
Oaks Estate,Sustainable Australia - Stop overdevelopment. Stop corruption.,4
Oaks Estate,The ACT Greens,18
Oaks Estate,The Community Action Party (ACT),3
Oaks Estate,Ungrouped,3
Page,ACT Labor,202
Page,Animal Justice Party,10
Page,Australian Climate Change Justice Party,6
Page,Australian Federation Party Australian Capital Territory,0
Page,Belco Party,77
Page,Canberra Liberals,136
Page,Canberra Progressives,0
Page,David Pollard Independent,0
Page,Labour DLP,13
Page,Liberal Democrats,1
Page,"Shooters, Fishers and Farmers Party (ACT)",8
Page,Sustainable Australia - Stop overdevelopment. Stop corruption.,12
Page,The ACT Greens,67
Page,The Community Action Party (ACT),0
Page,Ungrouped,12
Palmerston,ACT Labor,298
Palmerston,Animal Justice Party,19
Palmerston,Australian Climate Change Justice Party,0
Palmerston,Australian Federation Party Australian Capital Territory,2
Palmerston,Belco Party,0
Palmerston,Canberra Liberals,420
Palmerston,Canberra Progressives,33
Palmerston,David Pollard Independent,46
Palmerston,Labour DLP,41
Palmerston,Liberal Democrats,0
Palmerston,"Shooters, Fishers and Farmers Party (ACT)",0
Palmerston,Sustainable Australia - Stop overdevelopment. Stop corruption.,12
Palmerston,The ACT Greens,113
Palmerston,The Community Action Party (ACT),0
Palmerston,Ungrouped,19
Pearce,ACT Labor,298
Pearce,Animal Justice Party,14
Pearce,Australian Climate Change Justice Party,13
Pearce,Australian Federation Party Australian Capital Territory,1
Pearce,Belco Party,0
Pearce,Canberra Liberals,254
Pearce,Canberra Progressives,12
Pearce,David Pollard Independent,0
Pearce,Labour DLP,0
Pearce,Liberal Democrats,0
Pearce,"Shooters, Fishers and Farmers Party (ACT)",22
Pearce,Sustainable Australia - Stop overdevelopment. Stop corruption.,11
Pearce,The ACT Greens,96
Pearce,The Community Action Party (ACT),0
Pearce,Ungrouped,86
Postal,ACT Labor,5981
Postal,Animal Justice Party,375
Postal,Australian Climate Change Justice Party,116
Postal,Australian Federation Party Australian Capital Territory,35
Postal,Belco Party,344
Postal,Canberra Liberals,6537
Postal,Canberra Progressives,346
Postal,David Pollard Independent,127
Postal,Labour DLP,121
Postal,Liberal Democrats,34
Postal,"Shooters, Fishers and Farmers Party (ACT)",185
Postal,Sustainable Australia - Stop overdevelopment. Stop corruption.,415
Postal,The ACT Greens,1733
Postal,The Community Action Party (ACT),19
Postal,Ungrouped,470
Red Hill,ACT Labor,291
Red Hill,Animal Justice Party,11
Red Hill,Australian Climate Change Justice Party,10
Red Hill,Australian Federation Party Australian Capital Territory,0
Red Hill,Belco Party,0
Red Hill,Canberra Liberals,317
Red Hill,Canberra Progressives,57
Red Hill,David Pollard Independent,0
Red Hill,Labour DLP,0
Red Hill,Liberal Democrats,0
Red Hill,"Shooters, Fishers and Farmers Party (ACT)",4
Red Hill,Sustainable Australia - Stop overdevelopment. Stop corruption.,18
Red Hill,The ACT Greens,139
Red Hill,The Community Action Party (ACT),1
Red Hill,Ungrouped,19
Richardson,ACT Labor,163
Richardson,Animal Justice Party,3
Richardson,Australian Climate Change Justice Party,0
Richardson,Australian Federation Party Australian Capital Territory,1
Richardson,Belco Party,0
Richardson,Canberra Liberals,118
Richardson,Canberra Progressives,0
Richardson,David Pollard Independent,0
Richardson,Labour DLP,0
Richardson,Liberal Democrats,7
Richardson,"Shooters, Fishers and Farmers Party (ACT)",29
Richardson,Sustainable Australia - Stop overdevelopment. Stop corruption.,11
Richardson,The ACT Greens,31
Richardson,The Community Action Party (ACT),0
Richardson,Ungrouped,0
Scullin,ACT Labor,172
Scullin,Animal Justice Party,6
Scullin,Australian Climate Change Justice Party,8
Scullin,Australian Federation Party Australian Capital Territory,0
Scullin,Belco Party,45
Scullin,Canberra Liberals,72
Scullin,Canberra Progressives,0
Scullin,David Pollard Independent,0
Scullin,Labour DLP,9
Scullin,Liberal Democrats,0
Scullin,"Shooters, Fishers and Farmers Party (ACT)",5
Scullin,Sustainable Australia - Stop overdevelopment. Stop corruption.,13
Scullin,The ACT Greens,55
Scullin,The Community Action Party (ACT),0
Scullin,Ungrouped,9
Taylor,ACT Labor,213
Taylor,Animal Justice Party,5
Taylor,Australian Climate Change Justice Party,0
Taylor,Australian Federation Party Australian Capital Territory,5
Taylor,Belco Party,0
Taylor,Canberra Liberals,229
Taylor,Canberra Progressives,13
Taylor,David Pollard Independent,11
Taylor,Labour DLP,31
Taylor,Liberal Democrats,0
Taylor,"Shooters, Fishers and Farmers Party (ACT)",0
Taylor,Sustainable Australia - Stop overdevelopment. Stop corruption.,3
Taylor,The ACT Greens,69
Taylor,The Community Action Party (ACT),0
Taylor,Ungrouped,3
Tharwa,ACT Labor,10
Tharwa,Animal Justice Party,5
Tharwa,Australian Climate Change Justice Party,0
Tharwa,Australian Federation Party Australian Capital Territory,0
Tharwa,Belco Party,0
Tharwa,Canberra Liberals,22
Tharwa,Canberra Progressives,0
Tharwa,David Pollard Independent,0
Tharwa,Labour DLP,0
Tharwa,Liberal Democrats,2
Tharwa,"Shooters, Fishers and Farmers Party (ACT)",0
Tharwa,Sustainable Australia - Stop overdevelopment. Stop corruption.,3
Tharwa,The ACT Greens,2
Tharwa,The Community Action Party (ACT),0
Tharwa,Ungrouped,0
Theodore,ACT Labor,220
Theodore,Animal Justice Party,11
Theodore,Australian Climate Change Justice Party,0
Theodore,Australian Federation Party Australian Capital Territory,9
Theodore,Belco Party,0
Theodore,Canberra Liberals,226
Theodore,Canberra Progressives,0
Theodore,David Pollard Independent,0
Theodore,Labour DLP,0
Theodore,Liberal Democrats,5
Theodore,"Shooters, Fishers and Farmers Party (ACT)",28
Theodore,Sustainable Australia - Stop overdevelopment. Stop corruption.,8
Theodore,The ACT Greens,45
Theodore,The Community Action Party (ACT),0
Theodore,Ungrouped,0
Tuggeranong,ACT Labor,392
Tuggeranong,Animal Justice Party,38
Tuggeranong,Australian Climate Change Justice Party,1
Tuggeranong,Australian Federation Party Australian Capital Territory,7
Tuggeranong,Belco Party,1
Tuggeranong,Canberra Liberals,301
Tuggeranong,Canberra Progressives,1
Tuggeranong,David Pollard Independent,0
Tuggeranong,Labour DLP,2
Tuggeranong,Liberal Democrats,24
Tuggeranong,"Shooters, Fishers and Farmers Party (ACT)",30
Tuggeranong,Sustainable Australia - Stop overdevelopment. Stop corruption.,23
Tuggeranong,The ACT Greens,112
Tuggeranong,The Community Action Party (ACT),0
Tuggeranong,Ungrouped,4
Tuggeranong (Early voting),ACT Labor,8348
Tuggeranong (Early voting),Animal Justice Party,442
Tuggeranong (Early voting),Australian Climate Change Justice Party,39
Tuggeranong (Early voting),Australian Federation Party Australian Capital Territory,161
Tuggeranong (Early voting),Belco Party,21
Tuggeranong (Early voting),Canberra Liberals,7541
Tuggeranong (Early voting),Canberra Progressives,66
Tuggeranong (Early voting),David Pollard Independent,12
Tuggeranong (Early voting),Labour DLP,35
Tuggeranong (Early voting),Liberal Democrats,207
Tuggeranong (Early voting),"Shooters, Fishers and Farmers Party (ACT)",452
Tuggeranong (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,419
Tuggeranong (Early voting),The ACT Greens,2300
Tuggeranong (Early voting),The Community Action Party (ACT),0
Tuggeranong (Early voting),Ungrouped,132
Turner,ACT Labor,414
Turner,Animal Justice Party,30
Turner,Australian Climate Change Justice Party,9
Turner,Australian Federation Party Australian Capital Territory,0
Turner,Belco Party,1
Turner,Canberra Liberals,198
Turner,Canberra Progressives,59
Turner,David Pollard Independent,0
Turner,Labour DLP,0
Turner,Liberal Democrats,0
Turner,"Shooters, Fishers and Farmers Party (ACT)",2
Turner,Sustainable Australia - Stop overdevelopment. Stop corruption.,15
Turner,The ACT Greens,307
Turner,The Community Action Party (ACT),4
Turner,Ungrouped,12
Wanniassa,ACT Labor,202
Wanniassa,Animal Justice Party,12
Wanniassa,Australian Climate Change Justice Party,1
Wanniassa,Australian Federation Party Australian Capital Territory,8
Wanniassa,Belco Party,0
Wanniassa,Canberra Liberals,249
Wanniassa,Canberra Progressives,3
Wanniassa,David Pollard Independent,0
Wanniassa,Labour DLP,0
Wanniassa,Liberal Democrats,10
Wanniassa,"Shooters, Fishers and Farmers Party (ACT)",30
Wanniassa,Sustainable Australia - Stop overdevelopment. Stop corruption.,23
Wanniassa,The ACT Greens,73
Wanniassa,The Community Action Party (ACT),0
Wanniassa,Ungrouped,2
Wanniassa Hills,ACT Labor,265
Wanniassa Hills,Animal Justice Party,17
Wanniassa Hills,Australian Climate Change Justice Party,0
Wanniassa Hills,Australian Federation Party Australian Capital Territory,11
Wanniassa Hills,Belco Party,0
Wanniassa Hills,Canberra Liberals,199
Wanniassa Hills,Canberra Progressives,0
Wanniassa Hills,David Pollard Independent,0
Wanniassa Hills,Labour DLP,0
Wanniassa Hills,Liberal Democrats,9
Wanniassa Hills,"Shooters, Fishers and Farmers Party (ACT)",17
Wanniassa Hills,Sustainable Australia - Stop overdevelopment. Stop corruption.,24
Wanniassa Hills,The ACT Greens,100
Wanniassa Hills,The Community Action Party (ACT),0
Wanniassa Hills,Ungrouped,2
Waramanga,ACT Labor,205
Waramanga,Animal Justice Party,13
Waramanga,Australian Climate Change Justice Party,11
Waramanga,Australian Federation Party Australian Capital Territory,0
Waramanga,Belco Party,0
Waramanga,Canberra Liberals,162
Waramanga,Canberra Progressives,21
Waramanga,David Pollard Independent,0
Waramanga,Labour DLP,0
Waramanga,Liberal Democrats,0
Waramanga,"Shooters, Fishers and Farmers Party (ACT)",16
Waramanga,Sustainable Australia - Stop overdevelopment. Stop corruption.,7
Waramanga,The ACT Greens,91
Waramanga,The Community Action Party (ACT),0
Waramanga,Ungrouped,38
Watson,ACT Labor,459
Watson,Animal Justice Party,31
Watson,Australian Climate Change Justice Party,13
Watson,Australian Federation Party Australian Capital Territory,0
