,booth,electorate,party,candidate,votes
1937,Richardson,Brindabella,Sustainable Australia - Stop overdevelopment. Stop corruption.,"WILLETT, Bruce",4
1938,Richardson,Brindabella,The ACT Greens,"DAVIS, Johnathan",18
1939,Richardson,Brindabella,The ACT Greens,"ELLERMAN, Sue",2
1940,Richardson,Brindabella,The ACT Greens,"NUTTALL, Laura",11
1941,Richardson,Ginninderra,ACT Labor,"BERRY, Yvette",0
1942,Richardson,Ginninderra,ACT Labor,"CHEYNE, Tara",0
1943,Richardson,Ginninderra,ACT Labor,"DUCKER, Sue",0
1944,Richardson,Ginninderra,ACT Labor,"LLOYD, Greg",0
1945,Richardson,Ginninderra,ACT Labor,"RAMSAY, Gordon",0
1946,Richardson,Ginninderra,Animal Justice Party,"DREW, Carolyne",0
1947,Richardson,Ginninderra,Animal Justice Party,"DREW, Lara",0
1948,Richardson,Ginninderra,Australian Climate Change Justice Party,"DEMETRIOS, Oksana",0
1949,Richardson,Ginninderra,Australian Climate Change Justice Party,"NGEP, Sok Kheng",0
1950,Richardson,Ginninderra,Australian Climate Change Justice Party,"STAVRIDIS, Jonathan",0
1951,Richardson,Ginninderra,Belco Party,"DUBEY, Vijay",0
1952,Richardson,Ginninderra,Belco Party,"HENRY, Chic",0
1953,Richardson,Ginninderra,Belco Party,"LOUNT, Angela",0
1954,Richardson,Ginninderra,Belco Party,"STEFANIAK, Bill",0
1955,Richardson,Ginninderra,Belco Party,"TUTT, Alan",0
1956,Richardson,Ginninderra,Canberra Liberals,"CAIN, Peter",0
1957,Richardson,Ginninderra,Canberra Liberals,"GUNNING, Robert",0
1958,Richardson,Ginninderra,Canberra Liberals,"KIKKERT, Elizabeth",0
1959,Richardson,Ginninderra,Canberra Liberals,"LAM, Kacey",0
1960,Richardson,Ginninderra,Canberra Liberals,"ROZARIO, Ignatius",0
1961,Richardson,Ginninderra,Labour DLP,"McCLURE, Helen",0
1962,Richardson,Ginninderra,Labour DLP,"McCLURE, Ian",0
1963,Richardson,Ginninderra,Liberal Democrats,"DE LUCA, Dominic",0
1964,Richardson,Ginninderra,Liberal Democrats,"JAKEMAN, Guy",0
1965,Richardson,Ginninderra,"Shooters, Fishers and Farmers Party (ACT)","OGILVIE, Matthew",0
1966,Richardson,Ginninderra,"Shooters, Fishers and Farmers Party (ACT)","SMITH, Oliver",0
1967,Richardson,Ginninderra,Sustainable Australia - Stop overdevelopment. Stop corruption.,"GABRIEL, Paul",0
1968,Richardson,Ginninderra,Sustainable Australia - Stop overdevelopment. Stop corruption.,"O'CONNOR, Mark",0
1969,Richardson,Ginninderra,The ACT Greens,"CLAY, Jo",0
1970,Richardson,Ginninderra,The ACT Greens,"LIERSCH, Tim",0
1971,Richardson,Ginninderra,The ACT Greens,"MILLNER, Katt",0
1972,Richardson,Ginninderra,Ungrouped,"CULLEN, Mignonne",0
1973,Richardson,Kurrajong,ACT Labor,"ANDERSON, Judy",0
1974,Richardson,Kurrajong,ACT Labor,"BARR, Andrew",0
1975,Richardson,Kurrajong,ACT Labor,"INGRAM, Jacob",0
1976,Richardson,Kurrajong,ACT Labor,"NORTHAM, Maddy",0
1977,Richardson,Kurrajong,ACT Labor,"STEPHEN-SMITH, Rachel",0
1978,Richardson,Kurrajong,Animal Justice Party,"RUTLEDGE-PRIOR, Serrin",0
1979,Richardson,Kurrajong,Animal Justice Party,"SMITH, Julie",0
1980,Richardson,Kurrajong,Australian Climate Change Justice Party,"FORNER, Sophia",0
1981,Richardson,Kurrajong,Australian Climate Change Justice Party,"JOHNSON, Petar",0
1982,Richardson,Kurrajong,Australian Climate Change Justice Party,"O'HARA, Alix",0
1983,Richardson,Kurrajong,Canberra Liberals,"BURCH, Candice",0
1984,Richardson,Kurrajong,Canberra Liberals,"GUMBER, Rattesh",0
1985,Richardson,Kurrajong,Canberra Liberals,"JOHNSON, Robert",0
1986,Richardson,Kurrajong,Canberra Liberals,"LEE, Elizabeth",0
1987,Richardson,Kurrajong,Canberra Liberals,"PENTONY, Patrick",0
1988,Richardson,Kurrajong,Canberra Progressives,"BOHM, Tim",0
1989,Richardson,Kurrajong,Canberra Progressives,"BRYANT, Peta Anne",0
1990,Richardson,Kurrajong,Canberra Progressives,"FAULKNER, Therese",0
1991,Richardson,Kurrajong,Sustainable Australia - Stop overdevelopment. Stop corruption.,"ANGEL, Joy",0
1992,Richardson,Kurrajong,Sustainable Australia - Stop overdevelopment. Stop corruption.,"HAYDON, John",0
1993,Richardson,Kurrajong,The ACT Greens,"BOISEN, Adriana",0
1994,Richardson,Kurrajong,The ACT Greens,"BREWER, Michael",0
1995,Richardson,Kurrajong,The ACT Greens,"RATTENBURY, Shane",0
1996,Richardson,Kurrajong,The ACT Greens,"VASSAROTTI, Rebecca",0
1997,Richardson,Kurrajong,The Community Action Party (ACT),"HOPPER, Alvin",0
1998,Richardson,Kurrajong,The Community Action Party (ACT),"WILLIAMS, Robyn",0
1999,Richardson,Kurrajong,Ungrouped,"DAMIANO, Marilena",0
2000,Richardson,Kurrajong,Ungrouped,"PAINE, Bruce",0
2001,Richardson,Murrumbidgee,ACT Labor,"CODY, Bec",0
2002,Richardson,Murrumbidgee,ACT Labor,"DOBSON, Tim",0
2003,Richardson,Murrumbidgee,ACT Labor,"LONG, Brendan",0
2004,Richardson,Murrumbidgee,ACT Labor,"PATERSON, Marisa",0
2005,Richardson,Murrumbidgee,ACT Labor,"STEEL, Chris",0
2006,Richardson,Murrumbidgee,Animal Justice Party,"del VALLE, Yana",0
2007,Richardson,Murrumbidgee,Animal Justice Party,"HANDBY, Edmund",0
2008,Richardson,Murrumbidgee,Australian Climate Change Justice Party,"BYRNES, Rohan",0
2009,Richardson,Murrumbidgee,Australian Climate Change Justice Party,"DEMETRIOS, Andrew",0
2010,Richardson,Murrumbidgee,Australian Climate Change Justice Party,"FORNER, Richard",0
2011,Richardson,Murrumbidgee,Australian Climate Change Justice Party,"HILLMAN, Jackson",0
2012,Richardson,Murrumbidgee,Australian Climate Change Justice Party,"VEENSTRA, Peter",0
2013,Richardson,Murrumbidgee,Canberra Liberals,"COCKS, Ed",0
2014,Richardson,Murrumbidgee,Canberra Liberals,"HANSON, Jeremy",0
2015,Richardson,Murrumbidgee,Canberra Liberals,"JONES, Giulia",0
2016,Richardson,Murrumbidgee,Canberra Liberals,"SINGH, Amardeep",0
2017,Richardson,Murrumbidgee,Canberra Liberals,"SUINE, Sarah",0
2018,Richardson,Murrumbidgee,Canberra Progressives,"KNIGHT, Robert",0
2019,Richardson,Murrumbidgee,Canberra Progressives,"LIN, Stephen",0
2020,Richardson,Murrumbidgee,"Shooters, Fishers and Farmers Party (ACT)","GILMAYER, Mark",0
2021,Richardson,Murrumbidgee,"Shooters, Fishers and Farmers Party (ACT)","YEATMAN, Gordon",0
2022,Richardson,Murrumbidgee,Sustainable Australia - Stop overdevelopment. Stop corruption.,"BUCKMASTER, Geoff",0
2023,Richardson,Murrumbidgee,Sustainable Australia - Stop overdevelopment. Stop corruption.,"MAIL, Jill",0
2024,Richardson,Murrumbidgee,The ACT Greens,"BAKER, Terry",0
2025,Richardson,Murrumbidgee,The ACT Greens,"DAVIDSON, Emma",0
2026,Richardson,Murrumbidgee,The ACT Greens,"GORENG GORENG, Tjanara",0
2027,Richardson,Murrumbidgee,Ungrouped,"CARRICK, Fiona",0
2028,Richardson,Murrumbidgee,Ungrouped,"PERREN-LEVERIDGE, Lee",0
2029,Richardson,Murrumbidgee,Ungrouped,"WHYTE, Brendan",0
2030,Richardson,Yerrabi,ACT Labor,"FISCHER, Tom",0
2031,Richardson,Yerrabi,ACT Labor,"GUPTA, Deepak-Raj",0
2032,Richardson,Yerrabi,ACT Labor,"ORR, Suzanne",0
2033,Richardson,Yerrabi,ACT Labor,"PETTERSSON, Michael",0
2034,Richardson,Yerrabi,ACT Labor,"PHILLIPS, Georgia",0
2035,Richardson,Yerrabi,Animal Justice Party,"BRENNAN, Bernie",0
2036,Richardson,Yerrabi,Animal Justice Party,"HORNE, Francine",0
2037,Richardson,Yerrabi,Australian Federation Party Australian Capital Territory,"HUSSAIN, Mohammad Munir",0
2038,Richardson,Yerrabi,Canberra Liberals,"CASTLEY, Leanne",0
2039,Richardson,Yerrabi,Canberra Liberals,"COE, Alistair",0
2040,Richardson,Yerrabi,Canberra Liberals,"MILLIGAN, James",0
2041,Richardson,Yerrabi,Canberra Liberals,"NADIMPALLI, Krishna",0
2042,Richardson,Yerrabi,Canberra Liberals,"VADAKKEDATHU, Jacob",0
2043,Richardson,Yerrabi,Canberra Progressives,"STELZIG, Mike",0
2044,Richardson,Yerrabi,Canberra Progressives,"WILLIAMS, Bethany",0
2045,Richardson,Yerrabi,David Pollard Independent,"POLLARD, David",0
2046,Richardson,Yerrabi,David Pollard Independent,"POLLARD, Stephanie",0
2047,Richardson,Yerrabi,Labour DLP,"HELMORE, Olivia",0
2048,Richardson,Yerrabi,Labour DLP,"STRANG, Bernie",0
2049,Richardson,Yerrabi,Sustainable Australia - Stop overdevelopment. Stop corruption.,"KEARSLEY, John",0
2050,Richardson,Yerrabi,Sustainable Australia - Stop overdevelopment. Stop corruption.,"YOUNG, Scott",0
2051,Richardson,Yerrabi,The ACT Greens,"BRADDOCK, Andrew",0
2052,Richardson,Yerrabi,The ACT Greens,"HAQUE, Mainul",0
2053,Richardson,Yerrabi,Ungrouped,"CROSS, Helen",0
2054,Richardson,Yerrabi,Ungrouped,"LI, Fuxin",0
2055,Tharwa,Brindabella,ACT Labor,"BURCH, Joy",2
2056,Tharwa,Brindabella,ACT Labor,"DAY, Cathy",0
2057,Tharwa,Brindabella,ACT Labor,"FORDE, Brendan",0
2058,Tharwa,Brindabella,ACT Labor,"GENTLEMAN, Mick",5
2059,Tharwa,Brindabella,ACT Labor,"WERNER-GIBBINGS, Taimus",3
2060,Tharwa,Brindabella,Animal Justice Party,"FAHIZ, Jannah",2
2061,Tharwa,Brindabella,Animal Justice Party,"SOXSMITH, Robyn",3
2062,Tharwa,Brindabella,Australian Federation Party Australian Capital Territory,"POTTER, Jason",0
2063,Tharwa,Brindabella,Australian Federation Party Australian Capital Territory,"SANDFORD, Scott",0
2064,Tharwa,Brindabella,Canberra Liberals,"DANIELS, James",0
2065,Tharwa,Brindabella,Canberra Liberals,"HIATT, Jane",1
2066,Tharwa,Brindabella,Canberra Liberals,"LAWDER, Nicole",3
2067,Tharwa,Brindabella,Canberra Liberals,"PARTON, Mark",10
2068,Tharwa,Brindabella,Canberra Liberals,"WALL, Andrew",8
2069,Tharwa,Brindabella,Liberal Democrats,"GOWOR, Jacob",0
2070,Tharwa,Brindabella,Liberal Democrats,"KNIGHT, Matthew",2
2071,Tharwa,Brindabella,"Shooters, Fishers and Farmers Party (ACT)","BAYNHAM, Greg",0
2072,Tharwa,Brindabella,"Shooters, Fishers and Farmers Party (ACT)","OLLEY, Adrian",0
2073,Tharwa,Brindabella,Sustainable Australia - Stop overdevelopment. Stop corruption.,"CLAPHAM, Andrew",3
2074,Tharwa,Brindabella,Sustainable Australia - Stop overdevelopment. Stop corruption.,"WILLETT, Bruce",0
2075,Tharwa,Brindabella,The ACT Greens,"DAVIS, Johnathan",1
2076,Tharwa,Brindabella,The ACT Greens,"ELLERMAN, Sue",1
2077,Tharwa,Brindabella,The ACT Greens,"NUTTALL, Laura",0
2078,Tharwa,Ginninderra,ACT Labor,"BERRY, Yvette",0
2079,Tharwa,Ginninderra,ACT Labor,"CHEYNE, Tara",0
2080,Tharwa,Ginninderra,ACT Labor,"DUCKER, Sue",0
2081,Tharwa,Ginninderra,ACT Labor,"LLOYD, Greg",0
2082,Tharwa,Ginninderra,ACT Labor,"RAMSAY, Gordon",0
2083,Tharwa,Ginninderra,Animal Justice Party,"DREW, Carolyne",0
2084,Tharwa,Ginninderra,Animal Justice Party,"DREW, Lara",0
2085,Tharwa,Ginninderra,Australian Climate Change Justice Party,"DEMETRIOS, Oksana",0
2086,Tharwa,Ginninderra,Australian Climate Change Justice Party,"NGEP, Sok Kheng",0
2087,Tharwa,Ginninderra,Australian Climate Change Justice Party,"STAVRIDIS, Jonathan",0
2088,Tharwa,Ginninderra,Belco Party,"DUBEY, Vijay",0
2089,Tharwa,Ginninderra,Belco Party,"HENRY, Chic",0
2090,Tharwa,Ginninderra,Belco Party,"LOUNT, Angela",0
2091,Tharwa,Ginninderra,Belco Party,"STEFANIAK, Bill",0
2092,Tharwa,Ginninderra,Belco Party,"TUTT, Alan",0
2093,Tharwa,Ginninderra,Canberra Liberals,"CAIN, Peter",0
2094,Tharwa,Ginninderra,Canberra Liberals,"GUNNING, Robert",0
2095,Tharwa,Ginninderra,Canberra Liberals,"KIKKERT, Elizabeth",0
2096,Tharwa,Ginninderra,Canberra Liberals,"LAM, Kacey",0
2097,Tharwa,Ginninderra,Canberra Liberals,"ROZARIO, Ignatius",0
2098,Tharwa,Ginninderra,Labour DLP,"McCLURE, Helen",0
2099,Tharwa,Ginninderra,Labour DLP,"McCLURE, Ian",0
2100,Tharwa,Ginninderra,Liberal Democrats,"DE LUCA, Dominic",0
2101,Tharwa,Ginninderra,Liberal Democrats,"JAKEMAN, Guy",0
2102,Tharwa,Ginninderra,"Shooters, Fishers and Farmers Party (ACT)","OGILVIE, Matthew",0
2103,Tharwa,Ginninderra,"Shooters, Fishers and Farmers Party (ACT)","SMITH, Oliver",0
2104,Tharwa,Ginninderra,Sustainable Australia - Stop overdevelopment. Stop corruption.,"GABRIEL, Paul",0
2105,Tharwa,Ginninderra,Sustainable Australia - Stop overdevelopment. Stop corruption.,"O'CONNOR, Mark",0
2106,Tharwa,Ginninderra,The ACT Greens,"CLAY, Jo",0
2107,Tharwa,Ginninderra,The ACT Greens,"LIERSCH, Tim",0
2108,Tharwa,Ginninderra,The ACT Greens,"MILLNER, Katt",0
2109,Tharwa,Ginninderra,Ungrouped,"CULLEN, Mignonne",0
2110,Tharwa,Kurrajong,ACT Labor,"ANDERSON, Judy",0
2111,Tharwa,Kurrajong,ACT Labor,"BARR, Andrew",0
2112,Tharwa,Kurrajong,ACT Labor,"INGRAM, Jacob",0
2113,Tharwa,Kurrajong,ACT Labor,"NORTHAM, Maddy",0
2114,Tharwa,Kurrajong,ACT Labor,"STEPHEN-SMITH, Rachel",0
2115,Tharwa,Kurrajong,Animal Justice Party,"RUTLEDGE-PRIOR, Serrin",0
2116,Tharwa,Kurrajong,Animal Justice Party,"SMITH, Julie",0
2117,Tharwa,Kurrajong,Australian Climate Change Justice Party,"FORNER, Sophia",0
2118,Tharwa,Kurrajong,Australian Climate Change Justice Party,"JOHNSON, Petar",0
2119,Tharwa,Kurrajong,Australian Climate Change Justice Party,"O'HARA, Alix",0
2120,Tharwa,Kurrajong,Canberra Liberals,"BURCH, Candice",0
2121,Tharwa,Kurrajong,Canberra Liberals,"GUMBER, Rattesh",0
2122,Tharwa,Kurrajong,Canberra Liberals,"JOHNSON, Robert",0
2123,Tharwa,Kurrajong,Canberra Liberals,"LEE, Elizabeth",0
2124,Tharwa,Kurrajong,Canberra Liberals,"PENTONY, Patrick",0
2125,Tharwa,Kurrajong,Canberra Progressives,"BOHM, Tim",0
2126,Tharwa,Kurrajong,Canberra Progressives,"BRYANT, Peta Anne",0
2127,Tharwa,Kurrajong,Canberra Progressives,"FAULKNER, Therese",0
2128,Tharwa,Kurrajong,Sustainable Australia - Stop overdevelopment. Stop corruption.,"ANGEL, Joy",0
2129,Tharwa,Kurrajong,Sustainable Australia - Stop overdevelopment. Stop corruption.,"HAYDON, John",0
2130,Tharwa,Kurrajong,The ACT Greens,"BOISEN, Adriana",0
2131,Tharwa,Kurrajong,The ACT Greens,"BREWER, Michael",0
2132,Tharwa,Kurrajong,The ACT Greens,"RATTENBURY, Shane",0
2133,Tharwa,Kurrajong,The ACT Greens,"VASSAROTTI, Rebecca",0
2134,Tharwa,Kurrajong,The Community Action Party (ACT),"HOPPER, Alvin",0
2135,Tharwa,Kurrajong,The Community Action Party (ACT),"WILLIAMS, Robyn",0
2136,Tharwa,Kurrajong,Ungrouped,"DAMIANO, Marilena",0
2137,Tharwa,Kurrajong,Ungrouped,"PAINE, Bruce",0
2138,Tharwa,Murrumbidgee,ACT Labor,"CODY, Bec",0
2139,Tharwa,Murrumbidgee,ACT Labor,"DOBSON, Tim",0
2140,Tharwa,Murrumbidgee,ACT Labor,"LONG, Brendan",0
2141,Tharwa,Murrumbidgee,ACT Labor,"PATERSON, Marisa",0
2142,Tharwa,Murrumbidgee,ACT Labor,"STEEL, Chris",0
2143,Tharwa,Murrumbidgee,Animal Justice Party,"del VALLE, Yana",0
2144,Tharwa,Murrumbidgee,Animal Justice Party,"HANDBY, Edmund",0
2145,Tharwa,Murrumbidgee,Australian Climate Change Justice Party,"BYRNES, Rohan",0
2146,Tharwa,Murrumbidgee,Australian Climate Change Justice Party,"DEMETRIOS, Andrew",0
2147,Tharwa,Murrumbidgee,Australian Climate Change Justice Party,"FORNER, Richard",0
2148,Tharwa,Murrumbidgee,Australian Climate Change Justice Party,"HILLMAN, Jackson",0
2149,Tharwa,Murrumbidgee,Australian Climate Change Justice Party,"VEENSTRA, Peter",0
2150,Tharwa,Murrumbidgee,Canberra Liberals,"COCKS, Ed",0
2151,Tharwa,Murrumbidgee,Canberra Liberals,"HANSON, Jeremy",0
2152,Tharwa,Murrumbidgee,Canberra Liberals,"JONES, Giulia",0
2153,Tharwa,Murrumbidgee,Canberra Liberals,"SINGH, Amardeep",0
2154,Tharwa,Murrumbidgee,Canberra Liberals,"SUINE, Sarah",0
2155,Tharwa,Murrumbidgee,Canberra Progressives,"KNIGHT, Robert",0
2156,Tharwa,Murrumbidgee,Canberra Progressives,"LIN, Stephen",0
2157,Tharwa,Murrumbidgee,"Shooters, Fishers and Farmers Party (ACT)","GILMAYER, Mark",0
2158,Tharwa,Murrumbidgee,"Shooters, Fishers and Farmers Party (ACT)","YEATMAN, Gordon",0
2159,Tharwa,Murrumbidgee,Sustainable Australia - Stop overdevelopment. Stop corruption.,"BUCKMASTER, Geoff",0
2160,Tharwa,Murrumbidgee,Sustainable Australia - Stop overdevelopment. Stop corruption.,"MAIL, Jill",0
2161,Tharwa,Murrumbidgee,The ACT Greens,"BAKER, Terry",0
2162,Tharwa,Murrumbidgee,The ACT Greens,"DAVIDSON, Emma",0
2163,Tharwa,Murrumbidgee,The ACT Greens,"GORENG GORENG, Tjanara",0
2164,Tharwa,Murrumbidgee,Ungrouped,"CARRICK, Fiona",0
2165,Tharwa,Murrumbidgee,Ungrouped,"PERREN-LEVERIDGE, Lee",0
2166,Tharwa,Murrumbidgee,Ungrouped,"WHYTE, Brendan",0
2167,Tharwa,Yerrabi,ACT Labor,"FISCHER, Tom",0
2168,Tharwa,Yerrabi,ACT Labor,"GUPTA, Deepak-Raj",0
2169,Tharwa,Yerrabi,ACT Labor,"ORR, Suzanne",0
2170,Tharwa,Yerrabi,ACT Labor,"PETTERSSON, Michael",0
2171,Tharwa,Yerrabi,ACT Labor,"PHILLIPS, Georgia",0
2172,Tharwa,Yerrabi,Animal Justice Party,"BRENNAN, Bernie",0
2173,Tharwa,Yerrabi,Animal Justice Party,"HORNE, Francine",0
2174,Tharwa,Yerrabi,Australian Federation Party Australian Capital Territory,"HUSSAIN, Mohammad Munir",0
2175,Tharwa,Yerrabi,Canberra Liberals,"CASTLEY, Leanne",0
2176,Tharwa,Yerrabi,Canberra Liberals,"COE, Alistair",0
2177,Tharwa,Yerrabi,Canberra Liberals,"MILLIGAN, James",0
2178,Tharwa,Yerrabi,Canberra Liberals,"NADIMPALLI, Krishna",0
2179,Tharwa,Yerrabi,Canberra Liberals,"VADAKKEDATHU, Jacob",0
2180,Tharwa,Yerrabi,Canberra Progressives,"STELZIG, Mike",0
2181,Tharwa,Yerrabi,Canberra Progressives,"WILLIAMS, Bethany",0
2182,Tharwa,Yerrabi,David Pollard Independent,"POLLARD, David",0
2183,Tharwa,Yerrabi,David Pollard Independent,"POLLARD, Stephanie",0
2184,Tharwa,Yerrabi,Labour DLP,"HELMORE, Olivia",0
2185,Tharwa,Yerrabi,Labour DLP,"STRANG, Bernie",0
2186,Tharwa,Yerrabi,Sustainable Australia - Stop overdevelopment. Stop corruption.,"KEARSLEY, John",0
2187,Tharwa,Yerrabi,Sustainable Australia - Stop overdevelopment. Stop corruption.,"YOUNG, Scott",0
2188,Tharwa,Yerrabi,The ACT Greens,"BRADDOCK, Andrew",0
2189,Tharwa,Yerrabi,The ACT Greens,"HAQUE, Mainul",0
2190,Tharwa,Yerrabi,Ungrouped,"CROSS, Helen",0
2191,Tharwa,Yerrabi,Ungrouped,"LI, Fuxin",0
2192,Theodore,Brindabella,ACT Labor,"BURCH, Joy",60
2193,Theodore,Brindabella,ACT Labor,"DAY, Cathy",18
2194,Theodore,Brindabella,ACT Labor,"FORDE, Brendan",23
2195,Theodore,Brindabella,ACT Labor,"GENTLEMAN, Mick",70
2196,Theodore,Brindabella,ACT Labor,"WERNER-GIBBINGS, Taimus",49
2197,Theodore,Brindabella,Animal Justice Party,"FAHIZ, Jannah",4
2198,Theodore,Brindabella,Animal Justice Party,"SOXSMITH, Robyn",7
2199,Theodore,Brindabella,Australian Federation Party Australian Capital Territory,"POTTER, Jason",8
2200,Theodore,Brindabella,Australian Federation Party Australian Capital Territory,"SANDFORD, Scott",1
2201,Theodore,Brindabella,Canberra Liberals,"DANIELS, James",21
2202,Theodore,Brindabella,Canberra Liberals,"HIATT, Jane",37
2203,Theodore,Brindabella,Canberra Liberals,"LAWDER, Nicole",29
2204,Theodore,Brindabella,Canberra Liberals,"PARTON, Mark",109
2205,Theodore,Brindabella,Canberra Liberals,"WALL, Andrew",30
2206,Theodore,Brindabella,Liberal Democrats,"GOWOR, Jacob",0
2207,Theodore,Brindabella,Liberal Democrats,"KNIGHT, Matthew",5
2208,Theodore,Brindabella,"Shooters, Fishers and Farmers Party (ACT)","BAYNHAM, Greg",9
2209,Theodore,Brindabella,"Shooters, Fishers and Farmers Party (ACT)","OLLEY, Adrian",19
2210,Theodore,Brindabella,Sustainable Australia - Stop overdevelopment. Stop corruption.,"CLAPHAM, Andrew",4
2211,Theodore,Brindabella,Sustainable Australia - Stop overdevelopment. Stop corruption.,"WILLETT, Bruce",4
2212,Theodore,Brindabella,The ACT Greens,"DAVIS, Johnathan",18
2213,Theodore,Brindabella,The ACT Greens,"ELLERMAN, Sue",12
2214,Theodore,Brindabella,The ACT Greens,"NUTTALL, Laura",15
2215,Theodore,Ginninderra,ACT Labor,"BERRY, Yvette",0
2216,Theodore,Ginninderra,ACT Labor,"CHEYNE, Tara",0
2217,Theodore,Ginninderra,ACT Labor,"DUCKER, Sue",0
2218,Theodore,Ginninderra,ACT Labor,"LLOYD, Greg",0
2219,Theodore,Ginninderra,ACT Labor,"RAMSAY, Gordon",0
2220,Theodore,Ginninderra,Animal Justice Party,"DREW, Carolyne",0
2221,Theodore,Ginninderra,Animal Justice Party,"DREW, Lara",0
2222,Theodore,Ginninderra,Australian Climate Change Justice Party,"DEMETRIOS, Oksana",0
2223,Theodore,Ginninderra,Australian Climate Change Justice Party,"NGEP, Sok Kheng",0
2224,Theodore,Ginninderra,Australian Climate Change Justice Party,"STAVRIDIS, Jonathan",0
2225,Theodore,Ginninderra,Belco Party,"DUBEY, Vijay",0
2226,Theodore,Ginninderra,Belco Party,"HENRY, Chic",0
2227,Theodore,Ginninderra,Belco Party,"LOUNT, Angela",0
2228,Theodore,Ginninderra,Belco Party,"STEFANIAK, Bill",0
2229,Theodore,Ginninderra,Belco Party,"TUTT, Alan",0
2230,Theodore,Ginninderra,Canberra Liberals,"CAIN, Peter",0
2231,Theodore,Ginninderra,Canberra Liberals,"GUNNING, Robert",0
2232,Theodore,Ginninderra,Canberra Liberals,"KIKKERT, Elizabeth",0
2233,Theodore,Ginninderra,Canberra Liberals,"LAM, Kacey",0
2234,Theodore,Ginninderra,Canberra Liberals,"ROZARIO, Ignatius",0
2235,Theodore,Ginninderra,Labour DLP,"McCLURE, Helen",0
2236,Theodore,Ginninderra,Labour DLP,"McCLURE, Ian",0
2237,Theodore,Ginninderra,Liberal Democrats,"DE LUCA, Dominic",0
2238,Theodore,Ginninderra,Liberal Democrats,"JAKEMAN, Guy",0
2239,Theodore,Ginninderra,"Shooters, Fishers and Farmers Party (ACT)","OGILVIE, Matthew",0
2240,Theodore,Ginninderra,"Shooters, Fishers and Farmers Party (ACT)","SMITH, Oliver",0
2241,Theodore,Ginninderra,Sustainable Australia - Stop overdevelopment. Stop corruption.,"GABRIEL, Paul",0
2242,Theodore,Ginninderra,Sustainable Australia - Stop overdevelopment. Stop corruption.,"O'CONNOR, Mark",0
2243,Theodore,Ginninderra,The ACT Greens,"CLAY, Jo",0
2244,Theodore,Ginninderra,The ACT Greens,"LIERSCH, Tim",0
2245,Theodore,Ginninderra,The ACT Greens,"MILLNER, Katt",0
2246,Theodore,Ginninderra,Ungrouped,"CULLEN, Mignonne",0
2247,Theodore,Kurrajong,ACT Labor,"ANDERSON, Judy",0
2248,Theodore,Kurrajong,ACT Labor,"BARR, Andrew",0
2249,Theodore,Kurrajong,ACT Labor,"INGRAM, Jacob",0
2250,Theodore,Kurrajong,ACT Labor,"NORTHAM, Maddy",0
2251,Theodore,Kurrajong,ACT Labor,"STEPHEN-SMITH, Rachel",0
2252,Theodore,Kurrajong,Animal Justice Party,"RUTLEDGE-PRIOR, Serrin",0
2253,Theodore,Kurrajong,Animal Justice Party,"SMITH, Julie",0
2254,Theodore,Kurrajong,Australian Climate Change Justice Party,"FORNER, Sophia",0
2255,Theodore,Kurrajong,Australian Climate Change Justice Party,"JOHNSON, Petar",0
2256,Theodore,Kurrajong,Australian Climate Change Justice Party,"O'HARA, Alix",0
2257,Theodore,Kurrajong,Canberra Liberals,"BURCH, Candice",0
2258,Theodore,Kurrajong,Canberra Liberals,"GUMBER, Rattesh",0
2259,Theodore,Kurrajong,Canberra Liberals,"JOHNSON, Robert",0
2260,Theodore,Kurrajong,Canberra Liberals,"LEE, Elizabeth",0
2261,Theodore,Kurrajong,Canberra Liberals,"PENTONY, Patrick",0
2262,Theodore,Kurrajong,Canberra Progressives,"BOHM, Tim",0
2263,Theodore,Kurrajong,Canberra Progressives,"BRYANT, Peta Anne",0
2264,Theodore,Kurrajong,Canberra Progressives,"FAULKNER, Therese",0
2265,Theodore,Kurrajong,Sustainable Australia - Stop overdevelopment. Stop corruption.,"ANGEL, Joy",0
2266,Theodore,Kurrajong,Sustainable Australia - Stop overdevelopment. Stop corruption.,"HAYDON, John",0
2267,Theodore,Kurrajong,The ACT Greens,"BOISEN, Adriana",0
2268,Theodore,Kurrajong,The ACT Greens,"BREWER, Michael",0
2269,Theodore,Kurrajong,The ACT Greens,"RATTENBURY, Shane",0
2270,Theodore,Kurrajong,The ACT Greens,"VASSAROTTI, Rebecca",0
2271,Theodore,Kurrajong,The Community Action Party (ACT),"HOPPER, Alvin",0
2272,Theodore,Kurrajong,The Community Action Party (ACT),"WILLIAMS, Robyn",0
2273,Theodore,Kurrajong,Ungrouped,"DAMIANO, Marilena",0
2274,Theodore,Kurrajong,Ungrouped,"PAINE, Bruce",0
2275,Theodore,Murrumbidgee,ACT Labor,"CODY, Bec",0
2276,Theodore,Murrumbidgee,ACT Labor,"DOBSON, Tim",0
2277,Theodore,Murrumbidgee,ACT Labor,"LONG, Brendan",0
2278,Theodore,Murrumbidgee,ACT Labor,"PATERSON, Marisa",0
2279,Theodore,Murrumbidgee,ACT Labor,"STEEL, Chris",0
2280,Theodore,Murrumbidgee,Animal Justice Party,"del VALLE, Yana",0
2281,Theodore,Murrumbidgee,Animal Justice Party,"HANDBY, Edmund",0
2282,Theodore,Murrumbidgee,Australian Climate Change Justice Party,"BYRNES, Rohan",0
